Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,3.480000,3.480000,3.300000,3.390000,3.390000,55400
2021-01-05,3.360000,3.690000,3.360000,3.610000,3.610000,136500
2021-01-06,3.590000,3.660000,3.450000,3.450000,3.450000,39700
2021-01-07,3.490000,3.860000,3.470000,3.580000,3.580000,105200
2021-01-08,3.590000,3.750000,3.520000,3.690000,3.690000,82000
2021-01-11,3.710000,3.780000,3.510000,3.630000,3.630000,68100
2021-01-12,3.720000,5.500000,3.630000,4.610000,4.610000,9075100
2021-01-13,4.220000,4.400000,4.020000,4.070000,4.070000,748800
2021-01-14,4.140000,4.280000,4.000000,4.040000,4.040000,681200
2021-01-15,4.030000,4.050000,3.860000,3.990000,3.990000,596600
2021-01-19,3.990000,3.990000,3.760000,3.940000,3.940000,363300
2021-01-20,3.950000,3.980000,3.720000,3.870000,3.870000,273500
2021-01-21,3.940000,3.980000,3.760000,3.980000,3.980000,232500
2021-01-22,3.950000,4.250000,3.810000,4.120000,4.120000,521700
2021-01-25,4.150000,4.290000,3.830000,4.060000,4.060000,309300
2021-01-26,4.100000,4.100000,3.970000,4.050000,4.050000,283300
2021-01-27,4.240000,4.980000,4.050000,4.830000,4.830000,2167600
2021-01-28,4.440000,4.460000,4.050000,4.100000,4.100000,496200
2021-01-29,4.050000,4.080000,3.800000,3.880000,3.880000,320400
2021-02-01,3.880000,3.940000,3.820000,3.830000,3.830000,151000
2021-02-02,3.830000,4.000000,3.830000,3.880000,3.880000,139500
2021-02-03,3.890000,4.100000,3.890000,4.000000,4.000000,153600
2021-02-04,4.050000,4.230000,4.010000,4.190000,4.190000,200400
2021-02-05,4.200000,4.540000,3.960000,4.470000,4.470000,596100
2021-02-08,4.550000,4.710000,4.500000,4.650000,4.650000,339200
2021-02-09,4.590000,5.100000,4.590000,5.030000,5.030000,335200
2021-02-10,5.030000,5.140000,4.620000,4.860000,4.860000,443700
2021-02-11,4.910000,7.500000,4.610000,5.930000,5.930000,10768000
2021-02-12,5.500000,5.600000,4.880000,5.200000,5.200000,1079700
2021-02-16,5.010000,5.180000,4.680000,4.820000,4.820000,697900
2021-02-17,4.840000,5.260000,4.750000,5.160000,5.160000,583800
2021-02-18,5.100000,5.690000,5.100000,5.600000,5.600000,548700
2021-02-19,5.600000,5.960000,5.400000,5.750000,5.750000,369600
2021-02-22,5.550000,5.890000,5.500000,5.720000,5.720000,139300
2021-02-23,5.530000,5.580000,4.930000,5.020000,5.020000,221300
2021-02-24,5.110000,5.400000,5.090000,5.090000,5.090000,64400
2021-02-25,5.050000,5.150000,4.820000,4.850000,4.850000,86400
2021-02-26,4.830000,4.980000,4.550000,4.660000,4.660000,74200
2021-03-01,4.700000,4.980000,4.700000,4.920000,4.920000,80600
2021-03-02,5.030000,5.030000,4.670000,4.670000,4.670000,46800
2021-03-03,4.660000,4.770000,4.520000,4.610000,4.610000,67100
2021-03-04,4.520000,4.580000,4.030000,4.070000,4.070000,134300
2021-03-05,4.070000,4.140000,3.800000,4.080000,4.080000,84800
2021-03-08,4.080000,4.640000,3.910000,4.630000,4.630000,80900
2021-03-09,4.600000,4.660000,4.280000,4.540000,4.540000,66800
2021-03-10,4.670000,4.760000,4.370000,4.460000,4.460000,38100
2021-03-11,4.400000,4.900000,4.400000,4.760000,4.760000,127600
2021-03-12,4.720000,4.800000,4.500000,4.510000,4.510000,24900
2021-03-15,4.500000,5.190000,4.500000,5.120000,5.120000,118400
2021-03-16,5.180000,5.710000,4.910000,4.960000,4.960000,185800
2021-03-17,4.950000,5.400000,4.810000,5.220000,5.220000,53000
2021-03-18,5.230000,5.500000,5.040000,5.090000,5.090000,183400
2021-03-19,5.010000,5.690000,5.000000,5.690000,5.690000,264200
2021-03-22,5.750000,5.750000,5.300000,5.450000,5.450000,134200
